after,PL1-SW-001
again,PL1-SW-002
all,PL1-SW-003
always,PL1-SW-004
am,PL1-SW-005
an,PL1-SW-006
any,PL1-SW-007
are,PL1-SW-008
around,PL1-SW-009
as,PL1-SW-010
ask,PL1-SW-011
at,PL1-SW-012
ate,PL1-SW-013
be,PL1-SW-014
because,PL1-SW-015
been,PL1-SW-016
before,PL1-SW-017
black,PL1-SW-018
but,PL1-SW-019
by,PL1-SW-020
came,PL1-SW-021
could,PL1-SW-022
did,PL1-SW-023
do,PL1-SW-024
eat,PL1-SW-025
every,PL1-SW-026
fly,PL1-SW-027
four,PL1-SW-028
from,PL1-SW-029
gave,PL1-SW-030
get,PL1-SW-031
give,PL1-SW-032
goes,PL1-SW-033
going,PL1-SW-034
good,PL1-SW-035
had,PL1-SW-036
has,PL1-SW-037
have,PL1-SW-038
he,PL1-SW-039
her,PL1-SW-040
him,PL1-SW-041
his,PL1-SW-042
how,PL1-SW-043
into,PL1-SW-044
its,PL1-SW-045
just,PL1-SW-046
know,PL1-SW-047
let,PL1-SW-048
like ,PL1-SW-049
live,PL1-SW-050
may,PL1-SW-051
must,PL1-SW-052
new,PL1-SW-053
no,PL1-SW-054
now,PL1-SW-055
of,PL1-SW-056
old,PL1-SW-057
on,PL1-SW-058
once,PL1-SW-059
open,PL1-SW-060
our,PL1-SW-061
out,PL1-SW-062
over,PL1-SW-063
please,PL1-SW-064
pretty,PL1-SW-065
put,PL1-SW-066
ran,PL1-SW-067
ride,PL1-SW-068
round,PL1-SW-069
saw,PL1-SW-070
say,PL1-SW-071
she,PL1-SW-072
so,PL1-SW-073
some,PL1-SW-074
soon,PL1-SW-075
stop,PL1-SW-076
take,PL1-SW-077
thank,PL1-SW-078
that,PL1-SW-079
them,PL1-SW-080
then,PL1-SW-081
there,PL1-SW-082
these,PL1-SW-083
they,PL1-SW-084
think,PL1-SW-085
this,PL1-SW-086
those,PL1-SW-087
too,PL1-SW-088
under,PL1-SW-089
upon,PL1-SW-090
us,PL1-SW-091
walk,PL1-SW-092
want,PL1-SW-093
was,PL1-SW-094
well,PL1-SW-095
went,PL1-SW-096
were,PL1-SW-097
what,PL1-SW-098
when,PL1-SW-099
white,PL1-SW-100
who,PL1-SW-101
will,PL1-SW-102
with,PL1-SW-103
yes,PL1-SW-104
